13,1,10.15794,1.025674,0,2.547718
13,2,19.57327,1.590226,2.547718,4.587401
13,3,14.63556,1.204062,4.587401,3.442644
13,4,23.74363,2.505743,3.442644,6.04539
13,5,10.26728,0.4067307,6.04539,2.050155
13,6,26.8943,1.866982,2.050155,6.038201
13,7,16.4529,1.517538,6.038201,4.006764
13,8,13.12399,1.800283,4.006764,3.687568
13,9,16.71881,1.612254,3.687568,4.130013
13,10,16.59909,0.2824564,4.130013,3.001896
13,11,12.87302,1.262783,3.001896,3.197823
13,12,22.71541,4.376613,3.197823,7.43308
13,13,9.04207,4.133451,7.43308,4.951555
13,14,37.77374,3.395451,4.951555,9.125166
13,15,38.53676,5.108351,9.125166,10.67975
13,16,9.279637,3.023646,10.67975,4.066311
13,17,7.669448,4.408207,4.066311,4.951747
13,18,15.57161,2.829403,4.951747,4.953104
13,19,22.98499,5.073764,4.953104,8.058968
13,20,21.68759,2.450465,8.058968,5.656652
13,21,13.94585,3.077469,5.656652,4.888865
13,22,16.73698,4.767978,4.888865,6.762812
13, 1,7.162885,0.6407433,0,1.727767, 0.3
13, 2,3.878916,0.5501184,1.727767,1.104918, 0.36
13, 3,3.588988,1.483649,1.104918,1.834539, 0.252
13, 4,14.4329,0.3412819,1.834539,2.689884, 0.3024
13, 5,4.900533,2.288276,2.689884,2.723652, 0.3628801
13, 6,8.009873,1.832187,2.723652,2.861801, 0.4354561
13, 7,4.761777,0.3174028,2.861801,1.058132, 0.5225473
13, 8,2.806737,1.507848,1.058132,1.724329, 0.3657831
13, 9,11.61847,0.8325558,1.724329,2.630208, 0.4389397
13, 10,5.424072,0.8171997,2.630208,1.585012, 0.5267277
13, 11,3.102255,1.482242,1.585012,1.752244, 0.3687094
13, 12,8.204176,2.750614,1.752244,3.659541, 0.4424512
13, 13,6.81018,1.534805,3.659541,2.414034, 0.5309415
13, 14,6.501727,1.248125,2.414034,2.123725, 0.371659
13, 15,3.314615,0.2552767,2.123725,0.7651664, 0.2601613
13, 16,10.89321,0.7652349,0.7651664,2.45323, 0.1821129
13, 17,4.385938,1.964842,2.45323,2.368358, 0.2185355
13, 18,16.37865,1.960023,2.368358,4.363127, 0.1529749
13, 19,7.676057,1.103608,4.363127,2.199016, 0.1835698
13, 20,12.06264,2.394111,2.199016,4.005532, 0.1284989
13, 21,8.946784,1.946445,4.005532,3.113168, 0.1541987
13, 22,8.757453,2.581101,3.113168,3.610493, 0.1079391
13, 23,5.743535,3.332002,3.610493,3.733924, 0.1295269
13, 24,2.664521,2.192017,3.733924,2.270767, 0.1554323
13, 25,8.478357,4.56756,2.270767,5.21936, 0.1088026
13, 26,20.39705,4.481933,5.21936,7.134451, 0.1305631
13, 27,28.37218,3.281791,7.134451,7.463523, 0.1566757
13, 28,31.32145,4.275117,7.463523,8.782839, 0.1880109
13, 29,17.32826,0.1288748,8.782839,2.99544, 0.2256131
13, 30,3.630454,0.5469065,2.99544,1.060831, 0.1579292
15, 1,8.36619,2.317826,0,3.325887, 0.3
15, 2,10.57082,3.403714,3.325887,4.598231, 0.33
15, 3,12.83519,2.687364,4.598231,4.378668, 0.363
15, 4,52.7556,4.054193,4.378668,12.17109, 0.2541
15, 5,5.492691,1.468516,12.17109,2.139212, 0.27951
15, 6,32.96059,1.088722,2.139212,6.4007, 0.195657
15, 7,18.99431,4.247396,6.4007,6.705215, 0.2152227
15, 8,23.30007,3.043319,6.705215,6.419443, 0.236745
15, 9,47.0549,3.688514,6.419443,10.91624, 0.1657215
15, 10,33.28791,2.123307,10.91624,7.317408, 0.1822936
15, 11,32.48922,4.889776,7.317408,9.489683, 0.1276055
15, 12,28.58919,5.459087,9.489683,9.314105, 0.1403661
15, 13,15.57323,4.751786,9.314105,6.555359, 0.09825628
15, 14,27.25937,4.895669,6.555359,8.622952, 0.06877939
15, 15,15.62375,2.481357,8.622952,4.671755, 0.07565734
15, 16,21.7286,2.725203,4.671755,5.892436, 0.05296014
15, 17,24.96708,4.370428,5.892436,7.803203, 0.05825615
15, 18,19.25261,4.166346,7.803203,6.680723, 0.06408177
15, 19,43.876,5.678108,6.680723,12.04442, 0.04485723
15, 20,51.02178,3.610957,12.04442,11.51276, 0.04934296
15, 21,23.75142,6.607616,11.51276,9.464917, 0.03454007
15, 22,48.81398,6.823297,9.464917,13.82174, 0.02417805
15, 23,36.41965,9.113409,13.82174,13.66445, 0.02659585
15, 24,3.127093,0.2654533,13.66445,0.7423932, 0.0186171
15, 25,20.78285,2.464999,0.7423932,5.517974, 0.01303197
15, 26,19.00284,3.073223,5.517974,5.72816, 0.01433516
15, 27,44.56876,0.7391682,5.72816,8.0441, 0.01576868
15, 28,20.02071,2.554448,8.0441,5.465492, 0.01734555
15, 29,28.27756,1.8717,5.465492,6.272676, 0.01214188
15, 30,16.94182,2.296005,6.272676,4.736975, 0.01335607
16, 1,3.489554,0.6358776,0,1.11149, 0.3
16, 2,7.185224,1.224233,1.11149,2.217731, 0.33
16, 3,5.059796,2.283344,2.217731,2.746086, 0.363
16, 4,17.68334,1.201221,2.746086,3.948241, 0.3993
16, 5,29.13844,0.3048506,3.948241,5.110449, 0.4392301
16, 6,24.15631,2.160885,5.110449,5.82679, 0.4831531
16, 7,25.23822,2.543015,5.82679,6.325549, 0.5314684
16, 8,19.5182,3.554353,6.325549,6.214993, 0.5846152
16, 9,23.53187,3.068658,6.214993,6.479193, 0.496923
16, 10,20.64227,1.341628,6.479193,4.558402, 0.5466153
16, 11,17.1315,2.41187,4.558402,4.865141, 0.464623
16, 12,41.71911,6.264754,4.865141,12.17381, 0.5110853
16, 13,12.39713,1.196941,12.17381,3.063639, 0.5621939
16, 14,23.8781,1.510972,3.063639,5.238827, 0.4778648
16, 15,15.15015,1.664575,5.238827,3.91217, 0.5256513
16, 16,6.391682,2.832953,3.91217,3.426075, 0.4468036
16, 17,4.632134,1.396047,3.426075,1.935395, 0.3797831
16, 18,15.78427,1.716257,1.935395,4.060926, 0.3228156
16, 19,31.6411,4.526555,4.060926,9.045647, 0.3550972
16, 20,35.46589,2.644383,9.045647,8.114635, 0.3906069
16, 21,22.04061,3.098821,8.114635,6.255785, 0.3320159
